GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.
8600000US00786,00786,ZCTA5 00786,73,0,0,0,0,0,73,0,0,0,0,0,0,0,0
8600000US00791,00791,ZCTA5 00791,13013,1388,637,637,1161,1161,2557,1349,1069,411,539,103,321,860,820
8600000US00794,00794,ZCTA5 00794,5862,386,536,147,766,798,1603,439,528,242,53,80,126,98,60
8600000US00795,00795,ZCTA5 00795,13368,1417,995,677,1485,2003,2111,1077,693,403,544,263,133,848,719
8600000US00901,00901,ZCTA5 00901,2058,92,10,36,133,94,236,225,198,121,362,123,55,208,165
8600000US00906,00906,ZCTA5 00906,85,0,0,0,0,6,0,0,6,45,21,0,0,7,0
8600000US00907,00907,ZCTA5 00907,7336,206,148,91,504,481,896,887,1070,593,1105,305,80,359,611
8600000US00909,00909,ZCTA5 00909,2016,55,20,37,228,218,491,233,203,105,88,47,31,134,126
8600000US00911,00911,ZCTA5 00911,3326,49,39,63,227,146,540,467,569,241,384,180,68,194,159
8600000US00912,00912,ZCTA5 00912,2501,76,74,116,203,230,403,305,282,133,170,35,56,175,243
8600000US00913,00913,ZCTA5 00913,1444,80,89,39,201,108,80,139,97,98,155,53,26,165,114
8600000US00915,00915,ZCTA5 00915,8992,347,388,550,1248,973,1313,766,824,224,546,374,159,636,644
8600000US00917,00917,ZCTA5 00917,6494,238,88,141,568,408,1553,690,795,351,329,215,45,615,458
8600000US00918,00918,ZCTA5 00918,5919,40,45,139,258,344,1084,1120,1184,440,625,103,141,180,216
8600000US00920,00920,ZCTA5 00920,6439,246,264,166,557,638,1134,739,623,292,537,211,127,457,448
8600000US00921,00921,ZCTA5 00921,11561,638,179,410,1040,1244,2684,1467,912,370,717,225,257,716,702
8600000US00923,00923,ZCTA5 00923,6988,354,144,232,533,503,1698,754,925,259,524,43,83,454,482
8600000US00924,00924,ZCTA5 00924,15759,669,571,532,1632,2361,3193,1147,1354,562,874,520,281,1094,969
8600000US00925,00925,ZCTA5 00925,2395,66,92,41,243,77,507,246,374,108,150,46,22,244,179
8600000US00926,00926,ZCTA5 00926,37618,1104,839,1134,3655,4981,9852,3254,4435,1606,2378,876,233,1874,1397
8600000US00927,00927,ZCTA5 00927,4966,112,90,60,282,323,1104,830,786,379,361,159,48,232,200
8600000US00934,00934,ZCTA5 00934,25,0,0,0,0,14,0,11,0,0,0,0,0,0,0
8600000US00936,00936,ZCTA5 00936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US00949,00949,ZCTA5 00949,25480,2137,1228,1412,4006,3895,3460,2157,1691,638,1217,545,345,1318,1431
8600000US00950,00950,ZCTA5 00950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US00951,00951,ZCTA5 00951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US00952,00952,ZCTA5 00952,2472,142,235,195,427,324,340,202,107,83,59,25,34,73,226
8600000US00953,00953,ZCTA5 00953,24857,1875,1111,2120,3888,3812,4692,1528,1552,324,844,492,388,934,1297
8600000US00956,00956,ZCTA5 00956,22649,1493,1269,1098,4335,2952,4407,1417,1815,419,755,418,254,1065,952
8600000US00957,00957,ZCTA5 00957,12869,939,521,848,2300,1820,2106,739,793,325,454,275,306,815,628
8600000US00959,00959,ZCTA5 00959,18572,1234,632,919,2366,2501,3233,1618,1430,905,1085,502,303,1159,685
8600000US00960,00960,ZCTA5 00960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US00961,00961,ZCTA5 00961,10186,605,429,398,788,1518,1982,960,997,563,624,246,164,504,408
8600000US00962,00962,ZCTA5 00962,5379,276,244,469,517,712,855,487,437,231,355,169,119,254,254
8600000US00965,00965,ZCTA5 00965,2244,226,161,166,304,296,318,194,49,79,80,101,33,157,80
8600000US00966,00966,ZCTA5 00966,6156,145,31,120,324,509,1456,871,776,789,765,57,34,120,159
8600000US00968,00968,ZCTA5 00968,1284,0,0,17,48,115,242,195,216,162,171,58,8,23,29
8600000US00969,00969,ZCTA5 00969,17507,735,271,159,1103,1489,3872,2280,2645,1397,1592,544,242,476,702
8600000US00971,00971,ZCTA5 00971,9799,914,654,782,895,1217,1880,913,763,406,352,167,128,400,328
8600000US00976,00976,ZCTA5 00976,21772,744,871,1332,2790,3290,3852,1566,1842,1001,995,814,376,1270,1029
8600000US00979,00979,ZCTA5 00979,6888,210,244,356,513,511,1228,696,992,306,563,261,213,396,399
8600000US00982,00982,ZCTA5 00982,4780,214,180,199,624,803,710,338,327,185,268,221,111,334,266
8600000US00983,00983,ZCTA5 00983,12867,557,615,428,1369,1561,2085,1101,1166,328,937,493,248,1043,936
8600000US00985,00985,ZCTA5 00985,10845,602,599,604,1600,1515,1432,800,763,208,578,296,193,864,791
8600000US00987,00987,ZCTA5 00987,21969,1443,1082,1159,3123,3411,3282,1454,1637,1076,1551,485,331,1047,888
8600000US01001,01001,ZCTA5 01001,8409,142,123,366,789,806,1561,1316,928,617,616,289,31,460,365
8600000US01002,01002,ZCTA5 01002,13592,220,45,169,417,532,1300,1204,1877,1753,1831,694,408,1699,1443
8600000US01003,01003,ZCTA5 01003,2959,9,32,20,0,45,114,43,158,139,133,236,167,1043,820
8600000US01005,01005,ZCTA5 01005,2204,48,96,71,300,274,529,184,215,173,61,33,0,110,110
8600000US01007,01007,ZCTA5 01007,8139,153,125,316,1120,1014,1128,1225,1046,286,308,112,64,733,509
8600000US01008,01008,ZCTA5 01008,609,55,19,72,81,44,109,44,35,15,30,16,20,29,40
8600000US01009,01009,ZCTA5 01009,173,41,0,0,41,18,44,29,0,0,0,0,0,0,0
8600000US01010,01010,ZCTA5 01010,1882,106,115,152,252,201,299,211,101,48,81,10,38,109,159
8600000US01011,01011,ZCTA5 01011,770,60,54,31,78,47,182,79,66,28,28,2,0,67,48
8600000US01012,01012,ZCTA5 01012,261,0,8,19,10,62,28,30,60,4,14,8,5,8,5
8600000US01013,01013,ZCTA5 01013,9791,286,489,580,690,1266,1249,838,1117,449,433,368,54,1333,639
8600000US01020,01020,ZCTA5 01020,14897,418,688,840,1267,2066,1762,1311,1906,705,558,452,214,1470,1240
8600000US01022,01022,ZCTA5 01022,989,13,11,69,105,65,177,284,130,0,59,0,0,36,40
8600000US01026,01026,ZCTA5 01026,396,18,16,15,45,67,39,49,40,15,18,13,3,38,20
8600000US01027,01027,ZCTA5 01027,9328,265,360,404,544,1053,1304,1501,1253,513,827,225,143,673,263
8600000US01028,01028,ZCTA5 01028,7371,181,225,234,781,629,1412,801,893,512,444,268,138,393,460
8600000US01029,01029,ZCTA5 01029,348,6,13,16,37,42,62,64,28,8,33,3,0,36,0
8600000US01030,01030,ZCTA5 01030,5530,232,143,272,429,554,959,806,628,271,230,167,165,352,322
8600000US01031,01031,ZCTA5 01031,542,20,6,44,39,113,127,47,35,0,34,17,0,27,33
8600000US01032,01032,ZCTA5 01032,302,17,35,16,21,19,76,9,44,16,6,0,16,15,12
8600000US01033,01033,ZCTA5 01033,3268,141,65,121,250,562,379,401,456,216,79,92,0,263,243
8600000US01034,01034,ZCTA5 01034,1176,32,59,64,147,196,215,182,85,27,79,13,9,41,27
8600000US01035,01035,ZCTA5 01035,2299,88,36,88,100,72,284,227,296,310,251,137,8,246,156
8600000US01036,01036,ZCTA5 01036,2459,76,50,101,231,231,464,300,413,126,134,10,48,123,152
8600000US01037,01037,ZCTA5 01037,235,0,0,6,29,61,0,44,33,13,0,38,0,6,5
8600000US01038,01038,ZCTA5 01038,1517,30,47,27,116,112,238,276,208,123,115,30,8,123,64
8600000US01039,01039,ZCTA5 01039,621,16,3,31,44,46,117,46,156,24,78,5,0,25,30
